Product,Year,Aldi.Price,Aldi.Weight,Aldi.Price/Weight,Aldi.Natural,Aldi.Comment,Kroger.Price,Kroger.Weight,Kroger.Price/Weight,Kroger.Natural,Kroger.Comment,Publix.Price,Publix.Weight,Publix.Price/Weight,Publix.Natural,Publix.Comment,Walmart.Price,Walmart.Weight,Walmart.Price/Weight,Walmart.Comment
Aluminum Foil,2010,$2.29,75 sq ft,,,Kwik 'n Fresh,,,,,,2.99,50 sq ft,,,Publix,,,,
Apple Juice,2010,$1.19,64 fl oz,,,Nature's Nectar,$1.39,64 fl oz,,,Kroger Value,$2.49,2 qt,,,"Publix, pure, not from concentrate",,,,
Apple Sauce,2010,$0.99,25 oz,,,"Sweet Harvest, regular or cinnamon",$1.92,50 oz,,,"Kroger, classic, cinnamon and no sugar added",$2.73,46 oz,,Y,"Mott's, no sugar added",,,,
"Apples, Braeburn, bag",2010,,,,,,$4.98,3 lbs,,,"Kroger, Golden Delicious; best price seen (Braeburn): 1.00/lb individual",$4.99,3 lbs,,,"Independent, Fuji Apples",,,,
"Apples, Gala, bag",2010,$2.99,3 lbs,,,Washington and other growers,$4.49,3 lbs,,,"Kroger, best price seen: 2.99",$3.99,3 lbs,,,Independent,,,,
"Apples, other, bag",2010,$2.99,3 lbs,,,"Washington and other growers, Red Delicious, Golden Delicious, Fuji, Granny Smith",$3.99,3 lbs,,,"Kroger, Red Delicious",$3.69,3 lbs,,,"Independent, Red or Golden Delicious",,,,
Bacon,2010,$2.69,16 oz,,,Premium Pride,$3.69,12 oz,,,Gwaltney,$2.99,12 oz,,,Sunnyland or Carolina Pride,,,,
"Bagles, plain",2010,$1.39,20 oz,,,"L'oven Fresh, 6 ct",$2.19,22 oz,,,"Kroger, 6 ct",$2.49,20 oz,,,"Publix, 6 bagles, also cinnamon and multi-grain",,,,
"Bagles, plain, refrigerated",2010,,,,,,$1.39,14.25 oz,,,"Kroger, 5 ct; best price seen: 1.25 w/ card",$1.79,17.1 oz,,,"Lender's, 6 ct.",,,,
"Baguette, pre-baked",2010,$1.69,10.6 oz,,,"L'oven Fresh, 2 loafs, 300 g",$1.99,17 oz,,,"Kroger Bakery, ""just bake it"" French bread",,,,,,,,,
Barbeque Sauce,2010,$0.79,18 oz,,,"Tate's, original & honey",$0.87,18 oz,,,"Kroger, assorted flavors, best price seen: 0.79 with card",$1.99,28 oz,,,"Publix, original, honey, hickory",,,,
Beef Stew Meat,2010,$3.49,per lb,,,,$3.89,per lb,,,Kroger,$4.49,per lb,,,"Publix Premium, fresh meats",,,,
"Beer, bottle, pilsener, import",2010,$5.99,6 pack,,,"Wernesgrüner, Germany, 6 x 12 oz",$8.89,6 pack,,,"Pilsener Urquell, Czech, 6 x 12 fl oz",$8.69,6 pack,,,Pilsener Urquell,,,,
"Beer, can",2010,,,,,,$23.49,30 pack,,,"Budweiser, 30 x 12 fl oz",$19.99,24 pack,,,"Budweiser, 24 x 12 fl oz",,,,
"Brats, 4-6 pack",2010,$2.29,16 oz,,,"Parkview, 5 brats, cooked, smoked or cheddar",$4.29,16 oz,,,"Johnsonville, 6 ct",$3.99,14 oz,,,"Johnsonville, 6 brats, assorted flavors",,,,
Bread Crumbs,2010,$0.89,15 oz,,,Chef's Cupboard,$1.29,15 oz,,,"Kroger, plain and Italian",$1.79,24 oz,,,"Publix, original and Italian",,,,
"Bread, 12 grain",2010,$1.89,24 oz,,,L'oven Fresh,$3.59,24 oz,,Y,"Nature's Own, best price seen: 2 for 5.00",$3.69,24 oz,,,"Arnold, best price seen: buy 1 get 1 free",,,,
"Breakfast Sausage, frozen",2010,$0.89,7 oz,,,"Appleton, 10 links",$1.79,6.4 oz,,,"Banquet, 10 links, assorted flavors; best price seen: 1.39 w/ card",$2.19,12 oz,,,Hormel; best price seen: 1.50,,,,
"Butter, real, unsalted/salted",2010,$1.89,1 lb,,,Countyside Creamery,$2.29,1 lb,,,Kroger; best price seen: 2.00 w/ card,$2.71,16 oz,,,Publix; best price seen: 2 for 4.00,,,,
Carrots,2010,$1.29,2 lbs,,,Freshire Farms,$0.92,16 oz,,,Kroger Fresh,$0.89,16 oz,,,"Publix, California",,,,
"Cereal, Müsli style",2010,,,,,,$2.39,15.3 oz,,,Kroger,$4.29,17 oz,,,General Mills,,,,
Cheery Pie Filling,2010,$1.89,21 oz,,,Baker's Corner,$2.29,21 oz,,,Kroger,$2.99,21 oz,,,Comstock,,,,
Cheese Singles (imitation),2010,$0.89,10.67 oz,,,"Lynder, 16 slices",$2.18,12 oz,,,"Kroger, 16 ct, assorted flavors",$1.49,8 oz,,,"Publix, 12 slices",,,,
"Cheese, Asiago, sliced",2010,,,,,,,,,,,,,,,,,,,
"Cheese, Boursin",2010,,,,,,,,,,,$3.99,5.2 oz,,,Boursin,,,,
"Cheese, Brie",2010,,,,,,,,,,,$4.69,8 oz,,Y,"Alouette, baby brie",,,,
"Cheese, Brie",2010,,,,,,,,,,,$11.49,per lb,,,Coeur de Lion,,,,
"Cheese, Mexican, shredded",2010,$2.49,12 oz,,,Happy Farms,$4.99,16 oz,,,Kroger; best price seen: 3.99 w/ card,$2.89,8 oz,,,Publix; best price seen: 3 for 5.00,,,,
"Cheese, Mozarella, shredded",2010,$2.99,16 oz,,,Happy Farms,$1.19,8 oz,,,Kroger Value,$2.89,8 oz,,,Publix,,,,
"Cheese, regular (block)",2010,$1.29,8 oz,,,"Happy Farms, assorted varieties",,,,,,$16.09,per lb,,,"Emmentaler, section",,,,
"Cheese, sliced, Jarlsberg",2010,,,,,,,,,,,$4.99,8 oz,64.88,,"Jarlsberg, 10 slices",,,,
"Cheese, sliced, Swiss",2010,$1.99,8 oz,,,"Happy Farms, 10 slices",,,,,,$3.59,6 oz,59.83,,"LandOLakes, 8 slices; see Publix sliced Swiss",,,,
"Chicken Breasts, frozen",2010,$5.49,3 lbs,,,Kirkwood,$8.99,3 lbs,,,Kroger,,,,,,,,,
"Chicken Noodle Soup, condensed",2010,$0.49,10.5 oz,,,Chef's Cupboard,$0.59,10.5 oz,,,"Kroger, best price seen: 0.55 with card",$0.59,10.5 oz,,,Publix,,,,
"Chicken Noodle Soup, regular",2010,$1.39,18.6 oz,,,Chef's Cupboard,$1.63,18.6 oz,,,"Kroger, chunky",$2.29,19 oz,,,Progresso,,,,
"Chicken Nuggets, frozen",2010,$3.99,32 oz,,,Kirkwood,$1.89,10 oz,,,Redi-Serve,$5.99,32 oz,,,Perdue or Fast Fixin',,,,
