Name,Gender,Ethnicity,Name-Gender,Year,Number,Proportion,Proportion-Ethnicity
Abigail,Female,ASIAN AND PACI,Abigail-F,2011,24,0.0008139179977617255,0.09302325581395349
Ada,Female,ASIAN AND PACI,Ada-F,2011,13,0.00044087224878760134,1.0
Aisha,Female,ASIAN AND PACI,Aisha-F,2011,13,0.00044087224878760134,0.3611111111111111
Aiza,Female,ASIAN AND PACI,Aiza-F,2011,10,0.00033913249906738563,1.0
Aleena,Female,ASIAN AND PACI,Aleena-F,2011,12,0.00040695899888086275,1.0
Alexa,Female,ASIAN AND PACI,Alexa-F,2011,10,0.00033913249906738563,0.08403361344537816
Alexandra,Female,ASIAN AND PACI,Alexandra-F,2011,13,0.00044087224878760134,0.07692307692307693
Alice,Female,ASIAN AND PACI,Alice-F,2011,27,0.0009156577474819412,0.2903225806451613
Alina,Female,ASIAN AND PACI,Alina-F,2011,25,0.000847831247668464,0.6944444444444444
Alisha,Female,ASIAN AND PACI,Alisha-F,2011,10,0.00033913249906738563,1.0
Aliyah,Female,ASIAN AND PACI,Aliyah-F,2011,12,0.00040695899888086275,0.21052631578947367
Allison,Female,ASIAN AND PACI,Allison-F,2011,17,0.0005765252484145556,0.13934426229508196
Alyssa,Female,ASIAN AND PACI,Alyssa-F,2011,26,0.0008817444975752027,0.17105263157894737
Amanda,Female,ASIAN AND PACI,Amanda-F,2011,22,0.0007460914979482483,0.2619047619047619
Amber,Female,ASIAN AND PACI,Amber-F,2011,13,0.00044087224878760134,0.23214285714285715
Amelia,Female,ASIAN AND PACI,Amelia-F,2011,14,0.00047478549869433987,0.109375
Amy,Female,ASIAN AND PACI,Amy-F,2011,24,0.0008139179977617255,0.19672131147540983
Angel,Female,ASIAN AND PACI,Angel-F,2011,22,0.0007460914979482483,0.5789473684210527
Angela,Female,ASIAN AND PACI,Angela-F,2011,47,0.0015939227456167125,0.7014925373134329
Angelina,Female,ASIAN AND PACI,Angelina-F,2011,26,0.0008817444975752027,0.16352201257861634
Angie,Female,ASIAN AND PACI,Angie-F,2011,10,0.00033913249906738563,0.3448275862068966
Anika,Female,ASIAN AND PACI,Anika-F,2011,14,0.00047478549869433987,1.0
Anna,Female,ASIAN AND PACI,Anna-F,2011,30,0.0010173974972021568,0.234375
Annabelle,Female,ASIAN AND PACI,Annabelle-F,2011,10,0.00033913249906738563,0.2
Annie,Female,ASIAN AND PACI,Annie-F,2011,20,0.0006782649981347713,1.0
Aria,Female,ASIAN AND PACI,Aria-F,2011,12,0.00040695899888086275,0.48
Ariana,Female,ASIAN AND PACI,Ariana-F,2011,15,0.0005086987486010784,0.12931034482758622
Arianna,Female,ASIAN AND PACI,Arianna-F,2011,11,0.00037304574897412417,0.07142857142857142
Arya,Female,ASIAN AND PACI,Arya-F,2011,12,0.00040695899888086275,1.0
Ashley,Female,ASIAN AND PACI,Ashley-F,2011,52,0.0017634889951504053,0.18705035971223022
Audrey,Female,ASIAN AND PACI,Audrey-F,2011,19,0.0006443517482280327,0.4222222222222222
Ava,Female,ASIAN AND PACI,Ava-F,2011,23,0.000780004747854987,0.08243727598566308
Ayesha,Female,ASIAN AND PACI,Ayesha-F,2011,17,0.0005765252484145556,1.0
Bella,Female,ASIAN AND PACI,Bella-F,2011,16,0.000542611998507817,0.1523809523809524
Bonnie,Female,ASIAN AND PACI,Bonnie-F,2011,10,0.00033913249906738563,1.0
Brianna,Female,ASIAN AND PACI,Brianna-F,2011,13,0.00044087224878760134,0.06598984771573604
Catherine,Female,ASIAN AND PACI,Catherine-F,2011,27,0.0009156577474819412,0.45
Cecilia,Female,ASIAN AND PACI,Cecilia-F,2011,12,0.00040695899888086275,0.42857142857142855
Charlotte,Female,ASIAN AND PACI,Charlotte-F,2011,14,0.00047478549869433987,0.09210526315789473
Chloe,Female,ASIAN AND PACI,Chloe-F,2011,106,0.0035948044901142878,0.3183183183183183
Christina,Female,ASIAN AND PACI,Christina-F,2011,20,0.0006782649981347713,0.3225806451612903
Christine,Female,ASIAN AND PACI,Christine-F,2011,11,0.00037304574897412417,1.0
Christy,Female,ASIAN AND PACI,Christy-F,2011,12,0.00040695899888086275,1.0
Cindy,Female,ASIAN AND PACI,Cindy-F,2011,14,0.00047478549869433987,0.5185185185185185
Claire,Female,ASIAN AND PACI,Claire-F,2011,27,0.0009156577474819412,0.43548387096774194
Cynthia,Female,ASIAN AND PACI,Cynthia-F,2011,14,0.00047478549869433987,0.5833333333333334
Daisy,Female,ASIAN AND PACI,Daisy-F,2011,11,0.00037304574897412417,0.2037037037037037
Diya,Female,ASIAN AND PACI,Diya-F,2011,12,0.00040695899888086275,1.0
Eileen,Female,ASIAN AND PACI,Eileen-F,2011,18,0.0006104384983212941,0.5625
Elaine,Female,ASIAN AND PACI,Elaine-F,2011,28,0.0009495709973886797,1.0
Elena,Female,ASIAN AND PACI,Elena-F,2011,12,0.00040695899888086275,0.2553191489361702
Elina,Female,ASIAN AND PACI,Elina-F,2011,11,0.00037304574897412417,1.0
Elizabeth,Female,ASIAN AND PACI,Elizabeth-F,2011,15,0.0005086987486010784,0.075
Ella,Female,ASIAN AND PACI,Ella-F,2011,25,0.000847831247668464,0.1358695652173913
Emily,Female,ASIAN AND PACI,Emily-F,2011,93,0.0031539322413266864,0.2301980198019802
Emma,Female,ASIAN AND PACI,Emma-F,2011,75,0.002543493743005392,0.17985611510791366
Erica,Female,ASIAN AND PACI,Erica-F,2011,19,0.0006443517482280327,1.0
Erika,Female,ASIAN AND PACI,Erika-F,2011,12,0.00040695899888086275,0.4444444444444444
Erin,Female,ASIAN AND PACI,Erin-F,2011,13,0.00044087224878760134,0.34210526315789475
Eshal,Female,ASIAN AND PACI,Eshal-F,2011,11,0.00037304574897412417,1.0
Eva,Female,ASIAN AND PACI,Eva-F,2011,22,0.0007460914979482483,0.1527777777777778
Evelyn,Female,ASIAN AND PACI,Evelyn-F,2011,17,0.0005765252484145556,0.14285714285714285
Fatima,Female,ASIAN AND PACI,Fatima-F,2011,24,0.0008139179977617255,0.4
Fiona,Female,ASIAN AND PACI,Fiona-F,2011,48,0.001627835995523451,0.6153846153846154
Gianna,Female,ASIAN AND PACI,Gianna-F,2011,13,0.00044087224878760134,0.1
Grace,Female,ASIAN AND PACI,Grace-F,2011,33,0.0011191372469223726,0.1864406779661017
Hailey,Female,ASIAN AND PACI,Hailey-F,2011,16,0.000542611998507817,0.07729468599033816
Hannah,Female,ASIAN AND PACI,Hannah-F,2011,23,0.000780004747854987,0.17037037037037037
Helen,Female,ASIAN AND PACI,Helen-F,2011,10,0.00033913249906738563,0.43478260869565216
Irene,Female,ASIAN AND PACI,Irene-F,2011,20,0.0006782649981347713,0.6451612903225806
Iris,Female,ASIAN AND PACI,Iris-F,2011,26,0.0008817444975752027,0.5306122448979592
Isabel,Female,ASIAN AND PACI,Isabel-F,2011,12,0.00040695899888086275,0.16216216216216217
Isabella,Female,ASIAN AND PACI,Isabella-F,2011,67,0.0022721877437514837,0.11298482293423272
Isabelle,Female,ASIAN AND PACI,Isabelle-F,2011,11,0.00037304574897412417,0.2037037037037037
Ivy,Female,ASIAN AND PACI,Ivy-F,2011,35,0.0011869637467358497,0.7
Janice,Female,ASIAN AND PACI,Janice-F,2011,14,0.00047478549869433987,1.0
Jannat,Female,ASIAN AND PACI,Jannat-F,2011,13,0.00044087224878760134,1.0
Jasmine,Female,ASIAN AND PACI,Jasmine-F,2011,31,0.0010513107471088955,0.2627118644067797
Jennifer,Female,ASIAN AND PACI,Jennifer-F,2011,18,0.0006104384983212941,0.23376623376623376
Jenny,Female,ASIAN AND PACI,Jenny-F,2011,27,0.0009156577474819412,1.0
Jessica,Female,ASIAN AND PACI,Jessica-F,2011,26,0.0008817444975752027,0.2765957446808511
Jessie,Female,ASIAN AND PACI,Jessie-F,2011,18,0.0006104384983212941,1.0
Jia,Female,ASIAN AND PACI,Jia-F,2011,12,0.00040695899888086275,1.0
Joanna,Female,ASIAN AND PACI,Joanna-F,2011,38,0.0012887034964560655,1.0
Jocelyn,Female,ASIAN AND PACI,Jocelyn-F,2011,15,0.0005086987486010784,0.2459016393442623
Joy,Female,ASIAN AND PACI,Joy-F,2011,14,0.00047478549869433987,1.0
Joyce,Female,ASIAN AND PACI,Joyce-F,2011,22,0.0007460914979482483,0.6111111111111112
Julia,Female,ASIAN AND PACI,Julia-F,2011,24,0.0008139179977617255,0.13953488372093023
Kaitlyn,Female,ASIAN AND PACI,Kaitlyn-F,2011,11,0.00037304574897412417,0.1375
Karen,Female,ASIAN AND PACI,Karen-F,2011,22,0.0007460914979482483,0.3492063492063492
Kate,Female,ASIAN AND PACI,Kate-F,2011,10,0.00033913249906738563,0.18518518518518517
Katelyn,Female,ASIAN AND PACI,Katelyn-F,2011,14,0.00047478549869433987,0.3783783783783784
Katherine,Female,ASIAN AND PACI,Katherine-F,2011,21,0.0007121782480415098,0.168
Katie,Female,ASIAN AND PACI,Katie-F,2011,18,0.0006104384983212941,0.6
Kayla,Female,ASIAN AND PACI,Kayla-F,2011,21,0.0007121782480415098,0.10194174757281553
Kaylee,Female,ASIAN AND PACI,Kaylee-F,2011,20,0.0006782649981347713,0.14388489208633093
Kelly,Female,ASIAN AND PACI,Kelly-F,2011,22,0.0007460914979482483,0.3492063492063492
Khloe,Female,ASIAN AND PACI,Khloe-F,2011,13,0.00044087224878760134,0.11607142857142858
Kylie,Female,ASIAN AND PACI,Kylie-F,2011,11,0.00037304574897412417,0.1375
Lauren,Female,ASIAN AND PACI,Lauren-F,2011,13,0.00044087224878760134,0.14942528735632185
Leah,Female,ASIAN AND PACI,Leah-F,2011,16,0.000542611998507817,0.0443213296398892
Leela,Female,ASIAN AND PACI,Leela-F,2011,10,0.00033913249906738563,1.0
Lillian,Female,ASIAN AND PACI,Lillian-F,2011,16,0.000542611998507817,0.25396825396825395
Lily,Female,ASIAN AND PACI,Lily-F,2011,15,0.0005086987486010784,0.1282051282051282
Madison,Female,ASIAN AND PACI,Madison-F,2011,19,0.0006443517482280327,0.05080213903743316
Maggie,Female,ASIAN AND PACI,Maggie-F,2011,10,0.00033913249906738563,1.0
Mandy,Female,ASIAN AND PACI,Mandy-F,2011,12,0.00040695899888086275,1.0
Maryam,Female,ASIAN AND PACI,Maryam-F,2011,17,0.0005765252484145556,0.6296296296296297
Maya,Female,ASIAN AND PACI,Maya-F,2011,27,0.0009156577474819412,0.13846153846153847
Megan,Female,ASIAN AND PACI,Megan-F,2011,10,0.00033913249906738563,0.47619047619047616
Melody,Female,ASIAN AND PACI,Melody-F,2011,13,0.00044087224878760134,0.3611111111111111
Mia,Female,ASIAN AND PACI,Mia-F,2011,36,0.0012208769966425882,0.08633093525179857
Michelle,Female,ASIAN AND PACI,Michelle-F,2011,42,0.0014243564960830196,0.2978723404255319
Mila,Female,ASIAN AND PACI,Mila-F,2011,17,0.0005765252484145556,0.2537313432835821
Mina,Female,ASIAN AND PACI,Mina-F,2011,12,0.00040695899888086275,1.0
Natalie,Female,ASIAN AND PACI,Natalie-F,2011,20,0.0006782649981347713,0.17094017094017094
Nicole,Female,ASIAN AND PACI,Nicole-F,2011,33,0.0011191372469223726,0.2214765100671141
Nina,Female,ASIAN AND PACI,Nina-F,2011,21,0.0007121782480415098,0.29577464788732394
Olivia,Female,ASIAN AND PACI,Olivia-F,2011,89,0.0030182792416997323,0.20227272727272727
Phoebe,Female,ASIAN AND PACI,Phoebe-F,2011,18,0.0006104384983212941,0.43902439024390244
Queenie,Female,ASIAN AND PACI,Queenie-F,2011,15,0.0005086987486010784,1.0
Rachel,Female,ASIAN AND PACI,Rachel-F,2011,18,0.0006104384983212941,0.08035714285714286
Raina,Female,ASIAN AND PACI,Raina-F,2011,11,0.00037304574897412417,1.0
Rebecca,Female,ASIAN AND PACI,Rebecca-F,2011,13,0.00044087224878760134,0.14606741573033707
Renee,Female,ASIAN AND PACI,Renee-F,2011,10,0.00033913249906738563,1.0
Sabrina,Female,ASIAN AND PACI,Sabrina-F,2011,23,0.000780004747854987,0.2804878048780488
Samantha,Female,ASIAN AND PACI,Samantha-F,2011,22,0.0007460914979482483,0.09865470852017937
Sara,Female,ASIAN AND PACI,Sara-F,2011,24,0.0008139179977617255,0.15
Sarah,Female,ASIAN AND PACI,Sarah-F,2011,38,0.0012887034964560655,0.12337662337662338
Selena,Female,ASIAN AND PACI,Selena-F,2011,13,0.00044087224878760134,0.4642857142857143
Selina,Female,ASIAN AND PACI,Selina-F,2011,26,0.0008817444975752027,1.0
Serena,Female,ASIAN AND PACI,Serena-F,2011,17,0.0005765252484145556,0.5151515151515151
Sharon,Female,ASIAN AND PACI,Sharon-F,2011,20,0.0006782649981347713,1.0
Shirley,Female,ASIAN AND PACI,Shirley-F,2011,12,0.00040695899888086275,0.4444444444444444
Sofia,Female,ASIAN AND PACI,Sofia-F,2011,19,0.0006443517482280327,0.06209150326797386
Sophia,Female,ASIAN AND PACI,Sophia-F,2011,119,0.004035676738901889,0.21557971014492755
